title,imdb_id
The Mask,tt0110475
Miss Peregrine's Home for Peculiar Children,tt1935859
Troy,tt0332452
(500) Days of Summer,tt1022603
Braveheart,tt0112573
The Lion King,tt6105098
Star Trek,tt0796366
Black Widow,tt3480822
Beauty and the Beast,tt0101414
Murder on the Orient Express,tt3402236
Men in Black II,tt0120912
Mission: Impossible - Ghost Protocol,tt1229238
The Fast and the Furious,tt0232500
Venom: Let There Be Carnage,tt7097896
Requiem for a Dream,tt0180093
The Pursuit of Happyness,tt0454921
The Matrix Revolutions,tt0242653
Toy Story 4,tt1979376
Ice Age: The Meltdown,tt0438097
Godzilla vs. Kong,tt5034838
Frozen II,tt4520988
Star Wars: The Rise of Skywalker,tt2527338
Into the Wild,tt0758758
Trainspotting,tt0117951
X-Men: The Last Stand,tt0376994
The Wolverine,tt1430132
Hidden Figures,tt4846340
Hancock,tt0448157
How to Train Your Dragon 2,tt1646971
Mulan,tt0120762
Sonic the Hedgehog,tt3794354
Independence Day,tt0116629
Million Dollar Baby,tt0405159
The Greatest Showman,tt1485796
Shazam!,tt0448115
Fantastic Four,tt0120667
Tenet,tt6723592
Jojo Rabbit,tt2584384
District 9,tt1136608
Room,tt3170832
Home Alone 2: Lost in New York,tt0104431
The Da Vinci Code,tt0382625
The Bourne Identity,tt0258463
The Twilight Saga: New Moon,tt1259571
Encanto,tt2953050
Unbreakable,tt0217869
Star Trek Into Darkness,tt1408101
The Batman,tt1877830
xXx: Return of Xander Cage,tt1293847
A Bug's Life,tt0120623
Cruella,tt3228774
Watchmen,tt0409459
The Nightmare Before Christmas,tt0107688
Shang-Chi and the Legend of the Ten Rings,tt9376612
Alita: Battle Angel,tt0437086
Godzilla,tt0831387
The Twilight Saga: Breaking Dawn - Part 2,tt1673434
The Pianist,tt0253474
Saw,tt0387564
The Mummy,tt0120616
The Big Short,tt1596363
Shrek the Third,tt0413267
Snatch,tt0208092
We're the Millers,tt1723121
The Twilight Saga: Breaking Dawn - Part 1,tt1324999
The Twilight Saga: Eclipse,tt1325004
Elysium,tt1535108
Corpse Bride,tt0121164
Mission: Impossible - Rogue Nation,tt2381249
The King's Speech,tt1504320
